player_name,position,class,jersey_number
Alex Hernandez,1B,SO,
Vahn Lackey,C,JR,
Will Baker,RF,SO,
Ryan Zuckerman,3B,JR,
Jarren Advincula,2B,JR,
Drew Burress,CF,JR,
Carson Kerce,SS,JR,
Drew Rogers,C,SO,
Caleb Daniel,LF,SO,
Tyler Neises,DH,JR,
Parker Brosius,RF,SR,
Nathanael Coupet,1B,SO,
Judson Hartwell,,FR,
Dominic Stephenson,C,FR,
Michael Dee,,FR,
Kent Schmidt,1B,JR,
Coleman Lewis,RF,FR,
Cade Brown,1B,SO,
Dylan Loy,P,JR,
Tate McKee,P,JR,
Adam McKelvey,P,SO,
Jake Lankie,P,SO,
Jackson Blakely,P,SO,
Porter Buursema,P,JR,
Justin Shadek,P,SO,
Brett Barfield,P,SR,
Carson Ballard,P,JR,
Caden Gaudette,P,JR,
Dimitri Angelakos,P,FR,
Caden Spivey,P,SR,
Cooper Underwood,P,FR,
Mason Patel,P,GR,
Jamie Vicens,P,FR,
Charlie Willcox,P,FR,
Kayden Campbell,P,SR,
